UUID_FORM,CAREER,TIME_OF_ARRIVAL,TIME_OF_DEPARTURE,SEX,SMOKER,ELOQUENCE_LEVEL,IMPORTANCE_SMOKER,IMPORTANCE_ELOQUENCE,IMPORTANCE_MUSIC,IMPORTANCE_SEX,TRANSPORT,MUSIC,CARPOOL,CARPOOL_CAR,CARPOOL_NO_CAR
251,Comercio Internacional,19:00:00,22:00:00,Hombre,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
252,Comercio Internacional,19:00:00,22:00:00,Hombre,No,Medio,2,2,1,1,No Car,ROCK,Si,,Si
253,Ingeniería Industrial,7:30:00,18:00:00,Mujer,No,Extrovertido,5,1,1,1,Car,NO_PREF,Si,Si,
254,Fonoaudiología,7:30:00,11:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
255,Fonoaudiología,7:30:00,11:00:00,Mujer,No,Medio,10,1,1,1,Car,NO_PREF,Si,Si,
256,Fonoaudiología,7:30:00,10:40:00,Mujer,No,Medio,5,4,2,6,No Car,NO_PREF,Si,,Si
257,Ingeniería Civil,7:03:00,17:45:00,Mujer,No,Extrovertido,10,1,1,1,No Car,NO_PREF,Si,,Si
258,Ingeniería Civil,13:00:00,19:00:00,Hombre,No,Medio,3,1,1,1,No Car,"POP, ROCK, REGGAETON",Si,,Si
259,Fonoaudiología,7:30:00,12:00:00,Mujer,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
260,Comercio Internacional,18:30:00,22:00:00,Mujer,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
262,Fonoaudiología,7:30:00,11:30:00,Mujer,No,Medio,3,4,1,1,Car,NO_PREF,Si,Si,
263,Ingeniería Civil,9:00:00,16:00:00,Hombre,Si,Medio,1,5,10,1,Car,NO_PREF,Si,Si,
264,Ingeniería Industrial,9:00:00,13:00:00,Hombre,Si,Medio,1,1,10,1,Car,"POP, TECHNO, ELECTRONIC, ROCK, METAL, RAP",Si,Si,
265,Análisis de Sistema,18:15:00,22:00:00,Hombre,No,Medio,1,5,1,1,No Car,"NO_PREF, POP, ROCK",Si,,Si
268,Arquitectura,8:00:00,15:00:00,Mujer,No,Medio,1,1,1,1,No Car,"POP, ELECTRONIC, REGGAETON, TRAP, FUNK",Si,,Si
269,Economía,18:30:00,21:00:00,Hombre,No,Extrovertido,4,1,1,1,No Car,"ROCK, RAP, REGGAE, TRAP",Si,,Si
270,Ingeniería Civil,7:30:00,17:00:00,Mujer,No,Medio,3,1,1,5,Car,NO_PREF,Si,Si,
272,Ciencias Contables,18:20:00,22:00:00,Mujer,No,Extrovertido,3,3,2,4,Car,NO_PREF,Si,Si,
273,Economía,18:30:00,22:00:00,Mujer,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
274,Administración de Empresas,19:00:00,21:45:00,Mujer,No,Extrovertido,5,3,1,1,Car,"POP, ELECTRONIC, REGGAETON",Si,Si,
275,Ingeniería Civil,10:45:00,17:00:00,Mujer,Si,Extrovertido,1,6,5,1,Car,"POP, TECHNO, RAP, REGGAE, TRAP",Si,Si,
277,Administración de Empresas,18:00:00,22:00:00,Hombre,Si,Medio,1,4,3,1,Car,ROCK,No,No,
278,Economía,18:30:00,22:00:00,Hombre,Si,Medio,1,6,1,1,Car,NO_PREF,Si,Si,
279,Fonoaudiología,7:30:00,11:00:00,Mujer,No,Medio,10,5,4,7,No Car,POP,Si,,Si
280,Arquitectura,13:00:00,19:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
281,Economía,18:30:00,22:00:00,Hombre,No,Extrovertido,5,5,1,1,Car,NO_PREF,No,No,
282,Ingeniería Civil,9:00:00,18:00:00,Mujer,No,Extrovertido,2,1,1,1,No Car,NO_PREF,Si,,Si
283,Ciencias Contables,19:00:00,22:00:00,Mujer,No,Extrovertido,10,5,5,10,Car,"NO_PREF, POP, REGGAETON, TRAP",Si,Si,
284,Ciencias Contables,18:30:00,22:00:00,Mujer,No,Extrovertido,6,7,8,5,Car,"POP, ELECTRONIC, REGGAETON",Si,Si,
285,Arquitectura,13:00:00,18:00:00,Mujer,No,Medio,8,6,3,3,Car,"POP, ELECTRONIC, RAP, REGGAE, REGGAETON",Si,Si,
287,Fonoaudiología,7:30:00,18:40:00,Mujer,No,Medio,5,5,5,5,No Car,NO_PREF,Si,,Si
288,Administración de Empresas,19:00:00,22:00:00,Mujer,Si,Extrovertido,1,5,1,1,No Car,NO_PREF,Si,,Si
289,Administración de Empresas,19:00:00,22:30:00,Hombre,No,Extrovertido,10,7,1,1,Car,NO_PREF,Si,Si,
290,Administración de Empresas,18:30:00,21:45:00,Mujer,No,Medio,6,1,5,5,Car,NO_PREF,Si,Si,
291,Medicina,7:30:00,17:00:00,Hombre,Si,Extrovertido,1,5,1,1,No Car,NO_PREF,Si,,Si
292,Fonoaudiología,7:30:00,12:00:00,Mujer,No,Medio,7,1,1,1,Car,NO_PREF,Si,Si,
293,Comercio Internacional,19:00:00,22:00:00,Hombre,No,Extrovertido,7,10,7,1,Car,"POP, ELECTRONIC, ROCK, METAL, RAP",Si,Si,
294,Economía,18:00:00,22:10:00,Hombre,No,Extrovertido,5,5,1,1,No Car,NO_PREF,Si,,Si
295,Administración de Empresas,18:30:00,22:15:00,Mujer,Si,Medio,3,5,2,1,No Car,NO_PREF,Si,,Si
296,Ingeniería Ambiental,8:00:00,20:00:00,Hombre,No,Medio,9,7,5,2,Car,"POP, ELECTRONIC, ROCK, METAL, RAP, REGGAE, REGGAETON, TRAP",Si,Si,
298,Economía,18:30:00,22:00:00,Hombre,No,Medio,10,5,1,1,Car,"NO_PREF, SILENCE",Si,Si,
299,Ingeniería Industrial,7:00:00,16:00:00,Mujer,No,Extrovertido,5,1,10,1,No Car,"NO_PREF, POP, CUMBIA, REGGAETON, SILENCE",Si,,Si
300,Ingeniería Industrial,15:00:00,21:00:00,Mujer,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
301,Economía,18:30:00,22:00:00,Mujer,No,Medio,10,6,7,1,Car,POP,Si,Si,
302,Medicina,7:30:00,12:50:00,Mujer,No,Extrovertido,8,8,1,5,No Car,NO_PREF,Si,,Si
303,Medicina,9:30:00,20:50:00,Hombre,No,Extrovertido,5,1,1,1,Car,NO_PREF,Si,Si,
306,Comercio Internacional,18:15:00,22:15:00,Mujer,No,Medio,3,5,2,2,Car,"NO_PREF, POP, ROCK, RAP, CUMBIA, REGGAETON",Si,Si,
307,Economía,18:30:00,22:00:00,Hombre,Si,Extrovertido,1,5,1,1,Car,NO_PREF,Si,Si,
308,Fonoaudiología,8:00:00,11:30:00,Mujer,No,Medio,10,1,1,1,No Car,NO_PREF,Si,,Si
310,Economía,18:30:00,22:00:00,Hombre,No,Medio,8,3,6,1,Car,ROCK,Si,Si,
311,Ingeniería Informática,7:00:00,16:00:00,Hombre,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
312,Ingeniería Civil,8:00:00,18:00:00,Mujer,No,Medio,9,2,2,1,No Car,NO_PREF,Si,,Si
313,Medicina,7:30:00,14:00:00,Mujer,No,Extrovertido,1,5,5,7,No Car,POP,Si,,Si
314,Medicina,7:30:00,15:00:00,Hombre,No,Medio,4,1,1,1,Car,NO_PREF,Si,Si,
315,Diseño Gráfico,18:00:00,22:00:00,Mujer,No,Extrovertido,6,1,1,1,No Car,"POP, ELECTRONIC, ROCK, METAL, REGGAETON, TRAP",Si,,Si
316,Ciencias Contables,19:00:00,22:15:00,Hombre,No,Extrovertido,4,10,4,1,Car,TRAP,Si,Si,
317,Medicina,7:30:00,18:30:00,Mujer,Si,Medio,1,7,1,1,Car,ROCK,Si,Si,
318,Ciencias Contables,18:30:00,22:00:00,Mujer,No,Medio,7,5,5,1,No Car,NO_PREF,Si,,Si
320,Ingeniería Civil,7:30:00,12:00:00,Mujer,Si,Extrovertido,1,4,6,1,No Car,POP,Si,,Si
321,Administración de Empresas,18:30:00,22:00:00,Mujer,Si,Extrovertido,1,3,1,6,No Car,NO_PREF,Si,,Si
322,Comercio Internacional,18:30:00,21:30:00,Mujer,No,Extrovertido,10,5,1,1,No Car,NO_PREF,Si,,Si
324,Medicina,11:00:00,16:00:00,Mujer,No,Medio,8,8,9,5,Car,REGGAETON,Si,Si,
326,Medicina,7:30:00,17:30:00,Hombre,Si,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
328,Ingeniería Civil,7:00:00,17:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
330,Ingeniería Civil,7:30:00,18:00:00,Mujer,Si,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
331,Medicina,8:00:00,18:30:00,Mujer,No,Medio,1,1,5,1,No Car,TECHNO,Si,,Si
334,Fonoaudiología,7:30:00,12:00:00,Mujer,No,Medio,10,10,10,10,No Car,NO_PREF,Si,,Si
336,Marketing,18:30:00,22:00:00,Mujer,No,Medio,10,1,1,1,Car,NO_PREF,Si,Si,
337,Análisis de Sistema,18:00:00,22:10:00,Hombre,No,Medio,1,1,10,1,Car,"POP, ROCK, METAL",No,No,
340,Ingeniería Civil,13:00:00,18:00:00,Mujer,Si,Medio,1,8,10,1,Car,ROCK,Si,Si,
341,Fonoaudiología,7:30:00,12:15:00,Mujer,No,Extrovertido,10,10,10,10,No Car,NO_PREF,Si,,Si
342,Administración de Empresas,18:00:00,22:00:00,Hombre,No,Medio,5,5,5,5,No Car,NO_PREF,Si,,Si
343,Análisis de Sistema,18:15:00,22:15:00,Hombre,Si,Medio,1,1,8,1,Car,TECHNO,Si,Si,
344,Medicina,8:00:00,12:00:00,Mujer,No,Medio,5,5,5,5,Car,NO_PREF,No,No,
346,Ingeniería Civil,13:00:00,22:00:00,Mujer,No,Medio,9,5,5,5,Car,NO_PREF,No,No,
347,Medicina,7:30:00,17:30:00,Mujer,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
348,Ingeniería Civil,9:15:00,17:00:00,Mujer,No,Medio,3,4,1,1,Car,NO_PREF,Si,Si,
350,Administración de Empresas,18:00:00,22:00:00,Hombre,Si,Extrovertido,2,3,4,1,Car,REGGAETON,Si,Si,
351,Medicina,7:30:00,20:00:00,Mujer,No,Extrovertido,7,6,5,1,No Car,REGGAETON,Si,,Si
352,Diseño Gráfico,17:30:00,21:20:00,Mujer,No,Medio,7,10,10,4,Car,"POP, ELECTRONIC, ROCK, RAP",No,No,
353,Medicina,7:30:00,12:00:00,Mujer,No,Medio,4,6,1,8,Car,NO_PREF,Si,Si,
354,Medicina,8:00:00,18:00:00,Hombre,No,Introvertido,10,5,6,1,Car,NO_PREF,Si,Si,
355,Arquitectura,7:00:00,17:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
357,Ingeniería Civil,13:00:00,18:00:00,Hombre,No,Medio,5,3,2,1,Car,NO_PREF,Si,Si,
358,Ciencias Contables,18:30:00,22:10:00,Hombre,No,Extrovertido,8,1,5,1,Car,ROCK,Si,Si,
359,Medicina,7:30:00,12:30:00,Mujer,No,Medio,7,9,1,10,No Car,NO_PREF,Si,,Si
361,Marketing,18:30:00,22:00:00,Hombre,No,Medio,9,3,3,1,Car,"POP, ELECTRONIC, ROCK, REGGAETON, TRAP",Si,Si,
362,Medicina,7:30:00,12:30:00,Hombre,No,Extrovertido,10,1,1,1,No Car,NO_PREF,Si,,Si
363,Ingeniería Civil,13:00:00,18:30:00,Mujer,No,Medio,5,1,1,1,No Car,NO_PREF,Si,,Si
364,Ingeniería Civil,9:00:00,17:45:00,Hombre,Si,Extrovertido,1,1,4,1,Car,NO_PREF,Si,Si,
365,Ingeniería Industrial,10:00:00,16:00:00,Hombre,No,Medio,10,5,5,5,No Car,POP,Si,,Si
366,Arquitectura,8:00:00,18:00:00,Mujer,No,Medio,1,3,1,1,Car,NO_PREF,Si,Si,
367,Ingeniería Informática,9:00:00,16:00:00,Hombre,No,Extrovertido,8,1,5,1,Car,"POP, METAL, REGGAE",Si,Si,
368,Medicina,7:30:00,14:00:00,Mujer,No,Medio,7,9,10,10,Car,"POP, REGGAE, CUMBIA, REGGAETON, TRAP",Si,Si,
370,Medicina,7:30:00,15:00:00,Mujer,No,Medio,8,5,1,1,No Car,NO_PREF,Si,,Si
374,Medicina,7:30:00,16:00:00,Hombre,No,Medio,10,1,5,1,Car,NO_PREF,Si,Si,
377,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Medio,10,1,1,1,Car,NO_PREF,Si,Si,
378,Medicina,7:30:00,12:00:00,Mujer,No,Medio,10,1,1,1,Car,"POP, ELECTRONIC, ROCK, METAL, REGGAE, REGGAETON, FUNK",Si,Si,
379,Ingeniería Industrial,7:30:00,18:20:00,Mujer,No,Medio,5,5,2,2,No Car,"POP, ELECTRONIC, ROCK, REGGAETON",Si,,Si
380,Comercio Internacional,17:30:00,22:00:00,Hombre,Si,Extrovertido,3,7,3,1,No Car,NO_PREF,Si,,Si
381,Medicina,7:30:00,12:00:00,Hombre,No,Extrovertido,10,1,1,1,Car,NO_PREF,Si,Si,
382,Fonoaudiología,7:30:00,14:15:00,Mujer,Si,Extrovertido,1,5,1,5,Car,"NO_PREF, POP, ROCK, REGGAETON",Si,Si,
383,Economía,18:30:00,22:00:00,Hombre,No,Introvertido,10,10,1,1,No Car,SILENCE,Si,,Si
386,Medicina,10:00:00,17:00:00,Mujer,No,Medio,10,4,4,8,Car,NO_PREF,Si,Si,
387,Arquitectura,8:30:00,17:30:00,Mujer,No,Medio,7,3,5,3,Car,POP,Si,Si,
389,Comercio Internacional,19:00:00,22:00:00,Mujer,No,Extrovertido,7,5,7,5,Car,"POP, ROCK, CUMBIA, REGGAETON",Si,Si,
390,Ingeniería Civil,7:30:00,17:45:00,Mujer,No,Extrovertido,10,1,1,1,No Car,NO_PREF,Si,,Si
391,Ingeniería Informática,13:00:00,17:00:00,Hombre,No,Medio,10,5,5,1,Car,NO_PREF,Si,Si,
392,Medicina,10:00:00,16:30:00,Hombre,No,Extrovertido,3,7,1,1,Car,NO_PREF,Si,Si,
393,Ingeniería Industrial,9:30:00,17:00:00,Hombre,No,Medio,3,3,1,1,No Car,NO_PREF,Si,,Si
394,Comercio Internacional,18:30:00,22:30:00,Mujer,Si,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
395,Marketing,19:00:00,22:00:00,Mujer,No,Extrovertido,7,1,3,4,Car,"NO_PREF, POP, REGGAETON, TRAP, FUNK",Si,Si,
396,Ingeniería Civil,7:30:00,17:00:00,Mujer,No,Medio,5,5,5,1,No Car,NO_PREF,No,,No
399,Medicina,7:00:00,12:00:00,Mujer,No,Medio,7,7,7,9,Car,NO_PREF,Si,Si,
400,Marketing,18:30:00,22:00:00,Mujer,No,Medio,10,1,5,10,Car,NO_PREF,Si,Si,
401,Fonoaudiología,7:30:00,13:30:00,Mujer,No,Medio,5,4,1,1,No Car,NO_PREF,Si,,Si
403,Ciencias Contables,19:00:00,22:00:00,Mujer,Si,Medio,3,4,4,8,Car,NO_PREF,Si,Si,
404,Ingeniería Civil,9:00:00,17:00:00,Hombre,Si,Extrovertido,1,7,1,1,Car,NO_PREF,Si,Si,
405,Análisis de Sistema,17:30:00,22:00:00,Mujer,No,Medio,9,4,3,3,No Car,"POP, ROCK",No,,No
406,Ingeniería Civil,13:00:00,19:00:00,Hombre,No,Medio,7,7,5,5,Car,"REGGAETON, TRAP",Si,Si,
408,Arquitectura,9:00:00,18:00:00,Mujer,No,Medio,6,2,1,3,Car,NO_PREF,Si,Si,
409,Análisis de Sistema,18:45:00,21:30:00,Hombre,No,Medio,10,5,7,5,Car,NO_PREF,Si,Si,
410,Fonoaudiología,7:30:00,11:00:00,Mujer,No,Medio,3,3,3,2,Car,NO_PREF,No,No,
411,Ciencias Contables,19:00:00,22:00:00,Mujer,No,Extrovertido,5,1,1,1,No Car,REGGAETON,Si,,Si
412,Ingeniería Civil,9:00:00,18:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
413,Medicina,7:30:00,13:30:00,Mujer,No,Extrovertido,8,5,5,6,No Car,NO_PREF,Si,,Si
415,Medicina,8:00:00,19:00:00,Mujer,No,Medio,8,10,1,1,Car,NO_PREF,Si,Si,
418,Medicina,7:30:00,14:00:00,Mujer,No,Medio,10,1,4,1,No Car,NO_PREF,Si,,Si
419,Marketing,18:30:00,21:50:00,Mujer,No,Medio,1,7,1,1,Car,"POP, SILENCE",Si,Si,
420,Economía,18:30:00,22:30:00,Mujer,No,Medio,5,8,1,2,Car,POP,Si,Si,
421,Medicina,7:30:00,12:00:00,Hombre,No,Medio,5,7,1,1,No Car,NO_PREF,Si,,Si
422,Medicina,7:30:00,15:00:00,Mujer,No,Extrovertido,1,7,5,1,Car,"NO_PREF, POP, ELECTRONIC, CUMBIA, REGGAETON",Si,Si,
425,Marketing,18:20:00,22:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
426,Medicina,13:00:00,18:30:00,Mujer,No,Medio,6,1,4,6,Car,REGGAETON,Si,Si,
427,Medicina,7:30:00,12:15:00,Mujer,No,Extrovertido,1,1,1,1,No Car,REGGAETON,Si,,Si
428,Ingeniería Civil,8:00:00,19:30:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
429,Ingeniería Industrial,7:30:00,16:00:00,Mujer,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
430,Ingeniería Civil,13:00:00,18:00:00,Hombre,No,Medio,5,1,2,1,Car,"POP, RAP, REGGAE",Si,Si,
431,Ingeniería Civil,13:00:00,18:30:00,Mujer,No,Medio,9,7,5,1,No Car,"POP, RAP, REGGAE, REGGAETON, FUNK",Si,,Si
432,Medicina,7:30:00,12:30:00,Mujer,No,Medio,6,5,9,1,No Car,NO_PREF,Si,,Si
433,Ingeniería Civil,9:00:00,16:00:00,Mujer,No,Introvertido,4,7,7,2,Car,REGGAETON,Si,Si,
434,Medicina,7:30:00,16:45:00,Mujer,No,Introvertido,5,1,1,1,No Car,POP,Si,,Si
435,Medicina,7:30:00,12:00:00,Mujer,No,Extrovertido,8,10,8,6,Car,POP,Si,Si,
436,Medicina,7:30:00,12:00:00,Mujer,No,Extrovertido,9,1,1,1,No Car,"POP, TECHNO, ELECTRONIC, ROCK",Si,,Si
437,Comercio Internacional,7:00:00,13:00:00,Hombre,No,Medio,7,1,1,1,Car,"NO_PREF, REGGAETON, TRAP",Si,Si,
439,Arquitectura,13:00:00,17:00:00,Mujer,No,Medio,8,1,1,5,Car,"POP, ROCK, REGGAETON",Si,Si,
440,Medicina,7:15:00,18:00:00,Mujer,No,Medio,2,2,5,3,Car,"POP, TECHNO, ELECTRONIC, ROCK, REGGAE, CUMBIA, REGGAETON",Si,Si,
441,Medicina,7:30:00,12:00:00,Mujer,No,Medio,10,1,1,1,Car,"ELECTRONIC, REGGAE, REGGAETON",Si,Si,
443,Medicina,8:00:00,17:00:00,Hombre,No,Medio,1,7,1,1,No Car,NO_PREF,Si,,Si
444,Marketing,18:00:00,22:30:00,Mujer,No,Extrovertido,10,6,10,10,Car,"POP, TECHNO, REGGAETON",Si,Si,
445,Ingeniería Civil,7:30:00,19:15:00,Hombre,No,Medio,6,5,1,1,No Car,NO_PREF,Si,,Si
446,Medicina,7:00:00,18:00:00,Hombre,No,Medio,5,1,1,1,No Car,"POP, ELECTRONIC, ROCK, METAL",Si,,Si
448,Medicina,7:30:00,17:00:00,Mujer,No,Extrovertido,5,7,2,2,No Car,"NO_PREF, POP, ROCK, METAL, RAP, REGGAE, CUMBIA, REGGAETON, TRAP, FUNK",Si,,Si
449,Medicina,7:30:00,17:00:00,Mujer,No,Medio,5,5,2,2,No Car,NO_PREF,Si,,Si
450,Ciencias Contables,8:00:00,12:10:00,Mujer,No,Extrovertido,4,3,2,2,No Car,"ELECTRONIC, REGGAETON",Si,,Si
452,Medicina,7:30:00,13:00:00,Mujer,No,Extrovertido,10,5,4,3,Car,POP,Si,Si,
455,Administración de Empresas,19:00:00,21:50:00,Hombre,No,Extrovertido,10,5,4,1,Car,"NO_PREF, POP, ELECTRONIC",Si,Si,
457,Economía,18:00:00,22:30:00,Mujer,No,Extrovertido,1,1,1,1,No Car,POP,Si,,Si
462,Medicina,7:00:00,12:00:00,Mujer,No,Medio,3,1,1,1,Car,"ROCK, METAL",No,No,
463,Ciencias Contables,18:30:00,22:00:00,Mujer,No,Extrovertido,3,8,5,2,Car,NO_PREF,Si,Si,
464,Medicina,7:30:00,13:00:00,Mujer,No,Extrovertido,1,1,4,1,Car,"NO_PREF, POP, REGGAETON",Si,Si,
465,Ingeniería Civil,10:00:00,17:00:00,Hombre,No,Medio,7,6,1,1,Car,NO_PREF,Si,Si,
466,Ingeniería Civil,13:00:00,19:00:00,Hombre,No,Extrovertido,1,3,1,1,No Car,NO_PREF,Si,,Si
467,Medicina,7:30:00,15:00:00,Mujer,No,Extrovertido,7,2,1,3,Car,POP,Si,Si,
469,Ingeniería Civil,7:30:00,15:00:00,Hombre,No,Extrovertido,6,4,1,1,No Car,NO_PREF,Si,,Si
470,Medicina,7:30:00,15:00:00,Mujer,No,Medio,9,2,1,8,Car,"NO_PREF, POP, ROCK",Si,Si,
471,Fonoaudiología,7:30:00,12:40:00,Mujer,No,Medio,5,1,1,1,No Car,NO_PREF,Si,,Si
473,Ingeniería Civil,9:00:00,17:45:00,Mujer,No,Extrovertido,10,1,1,1,Car,NO_PREF,Si,Si,
474,Medicina,7:30:00,13:00:00,Mujer,No,Medio,1,1,6,1,No Car,"POP, ROCK",Si,,Si
475,Comercio Internacional,20:30:00,22:00:00,Hombre,Si,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
476,Medicina,8:00:00,17:00:00,Mujer,No,Medio,10,8,1,5,No Car,NO_PREF,Si,,Si
478,Medicina,7:30:00,16:00:00,Mujer,No,Medio,10,8,3,1,Car,"NO_PREF, POP, ELECTRONIC, ROCK, METAL, REGGAETON",Si,Si,
479,Medicina,7:30:00,16:00:00,Mujer,No,Medio,6,5,1,1,No Car,NO_PREF,Si,,Si
480,Medicina,10:00:00,17:00:00,Mujer,No,Introvertido,8,1,1,4,Car,"NO_PREF, POP, ROCK, RAP",Si,Si,
483,Marketing,19:00:00,22:00:00,Mujer,No,Medio,10,5,3,5,Car,"POP, REGGAETON, TRAP, FUNK",Si,Si,
484,Administración de Empresas,19:00:00,22:00:00,Hombre,Si,Extrovertido,3,7,4,4,Car,NO_PREF,Si,Si,
485,Medicina,9:00:00,16:00:00,Hombre,No,Extrovertido,10,1,5,1,Car,NO_PREF,Si,Si,
486,Comercio Internacional,19:00:00,22:00:00,Mujer,No,Medio,6,1,1,1,No Car,NO_PREF,Si,,Si
487,Medicina,7:30:00,15:00:00,Mujer,No,Medio,10,1,4,1,No Car,"POP, TECHNO, ELECTRONIC",Si,,Si
488,Diseño Industrial,18:30:00,21:30:00,Mujer,No,Extrovertido,9,8,1,1,No Car,NO_PREF,Si,,Si
489,Ingeniería Industrial,14:30:00,19:00:00,Hombre,No,Extrovertido,7,9,2,2,Car,REGGAETON,Si,Si,
491,Ingeniería Ambiental,18:00:00,22:00:00,Hombre,Si,Medio,5,7,5,5,Car,REGGAETON,Si,Si,
492,Ingeniería Civil,7:30:00,21:00:00,Hombre,No,Extrovertido,1,5,1,1,No Car,"POP, ELECTRONIC, CUMBIA, REGGAETON, TRAP",Si,,Si
493,Diseño Industrial,8:00:00,11:00:00,Hombre,Si,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
494,Medicina,7:30:00,15:00:00,Mujer,No,Medio,8,1,7,1,No Car,"POP, ROCK, RAP, REGGAE",Si,,Si
495,Ingeniería Civil,13:15:00,18:30:00,Hombre,No,Medio,10,10,10,10,Car,NO_PREF,Si,Si,
496,Ingeniería Civil,7:30:00,18:30:00,Hombre,Si,Extrovertido,5,1,1,1,Car,ROCK,Si,Si,
500,Ciencias Contables,19:00:00,22:00:00,Hombre,Si,Extrovertido,5,5,5,1,No Car,NO_PREF,Si,,Si
501,Economía,18:30:00,22:15:00,Hombre,No,Extrovertido,4,7,8,7,Car,"NO_PREF, REGGAETON",Si,Si,
503,Economía,18:30:00,22:00:00,Hombre,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
505,Economía,9:00:00,16:00:00,Hombre,No,Extrovertido,7,9,1,1,No Car,REGGAETON,Si,,Si
506,Economía,18:30:00,22:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
507,Medicina,7:30:00,17:30:00,Mujer,No,Extrovertido,4,5,5,6,Car,NO_PREF,Si,Si,
508,Ingeniería Civil,7:00:00,17:00:00,Mujer,No,Extrovertido,10,5,1,8,No Car,ELECTRONIC,Si,,Si
509,Administración de Empresas,18:30:00,21:30:00,Mujer,No,Medio,5,6,6,8,Car,NO_PREF,Si,Si,
513,Medicina,12:00:00,16:00:00,Hombre,Si,Medio,4,5,1,1,Car,NO_PREF,Si,Si,
514,Ingeniería Ambiental,8:30:00,19:15:00,Hombre,No,Introvertido,1,5,1,1,No Car,"POP, ELECTRONIC, RAP",Si,,Si
515,Economía,18:30:00,21:30:00,Mujer,Si,Extrovertido,1,6,1,1,Car,NO_PREF,Si,Si,
516,Ciencias Contables,19:00:00,22:15:00,Hombre,No,Medio,1,3,3,1,Car,NO_PREF,Si,Si,
517,Medicina,7:30:00,12:00:00,Mujer,No,Medio,1,1,1,1,No Car,POP,Si,,Si
518,Ciencias Contables,19:00:00,22:00:00,Hombre,No,Extrovertido,8,10,1,1,No Car,ELECTRONIC,Si,,Si
519,Economía,18:30:00,22:00:00,Mujer,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
520,Medicina,7:30:00,17:30:00,Mujer,No,Extrovertido,3,1,1,1,Car,NO_PREF,Si,Si,
521,Ingeniería Civil,10:00:00,17:00:00,Hombre,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
523,Medicina,7:30:00,18:30:00,Hombre,No,Extrovertido,10,1,1,5,Car,NO_PREF,Si,Si,
525,Ciencias Contables,8:00:00,12:00:00,Mujer,No,Medio,1,5,8,1,No Car,NO_PREF,No,,No
526,Marketing,17:00:00,22:00:00,Mujer,No,Extrovertido,10,10,10,1,Car,POP,No,No,
529,Administración de Empresas,18:30:00,22:00:00,Mujer,No,Medio,3,7,3,3,No Car,NO_PREF,Si,,Si
530,Ingeniería Civil,9:00:00,17:00:00,Mujer,No,Extrovertido,3,5,1,2,Car,REGGAETON,Si,Si,
531,Administración de Empresas,18:30:00,22:00:00,Mujer,No,Medio,10,5,5,8,Car,NO_PREF,No,No,
532,Administración de Empresas,7:30:00,12:00:00,Hombre,No,Medio,10,5,10,1,No Car,"CUMBIA, REGGAETON, TRAP, SILENCE",Si,,Si
533,Administración de Empresas,19:00:00,21:55:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
534,Comercio Internacional,18:30:00,22:05:00,Mujer,No,Extrovertido,1,3,1,4,Car,NO_PREF,Si,Si,
536,Marketing,18:00:00,22:15:00,Hombre,Si,Extrovertido,8,3,8,1,Car,"ROCK, CUMBIA, REGGAETON, TRAP",Si,Si,
537,Ingeniería Industrial,14:30:00,18:00:00,Hombre,No,Extrovertido,1,1,1,1,Car,"POP, TECHNO, ELECTRONIC, ROCK, REGGAETON",Si,Si,
538,Ciencias Contables,19:30:00,21:40:00,Mujer,No,Medio,6,1,3,1,No Car,"POP, ROCK, REGGAE",Si,,Si
539,Ingeniería Informática,14:30:00,17:00:00,Mujer,No,Extrovertido,10,5,10,1,Car,"ROCK, METAL, SILENCE",Si,Si,
